author;updated_at;like_count;text;video_id;public;label
@oholaoholiba6467;2025-05-24T09:05:26Z;0;export di sektor energi hrs dipersulit, krn itu tdk meningkatkan pendapatan, itu ngurangin modal 😤😤😤;bzJIZc170pE;True;0.0
@BambangSuhartanto-cz1iv;2025-05-18T02:11:14Z;0;60,3℅;bzJIZc170pE;True;2.0
@mas_Jeff;2025-05-16T13:13:20Z;0;Pemerintah kenapa ga fokus sama masalah sampah ya😢?;bzJIZc170pE;True;0.0
@wahyunusantara5038;2025-05-13T16:30:53Z;0;Belajarlah dari 1MDB Malaysia.;bzJIZc170pE;True;2.0
@pujianto4263;2025-04-29T19:02:41Z;0;"Selamat buat DPR....punya kebun baru....bentar lagi bakal ada besar""an makan""....";bzJIZc170pE;True;0.0
@Cuticatie;2025-04-18T08:54:53Z;0;Pembahasan lengkap danantara cek Pak Ferry bagus penjelasannya mengapa beliau tidak setuju. (dari sisi pengelolaan lembaganya, penghimpunan dana, penilaian aset/market value yg bisa disalahgunakan , dll.). Intinya danantara bisa jadi bancakan legal semua pejabat2 yang berhubungan dengan danantara utk memperoleh untung/insider trading dll.;bzJIZc170pE;True;0.0
@muslimannurhaery3237;2025-04-15T06:04:01Z;0;"Cukup nonton aja sebagai rakyat jelata sembari nunggu info "" negatif yg sudah terjadi di mana""";bzJIZc170pE;True;0.0
@rezzaagitha1707;2025-04-14T15:28:21Z;0;BlackRock lokal 🤭;bzJIZc170pE;True;0.0
@IkaZulaikhahchozin;2025-04-05T03:38:27Z;0;Bermanfaat buat yg menjabat...siap2 aja korupsi menjadi2;bzJIZc170pE;True;0.0
@bobbyirawan6499;2025-04-04T14:47:09Z;0;Gilaaa..... Yang ngelola maling... Maling Di kasih uang.. Tetep ujung ujungnya korupsi... Yakin gw yakiiin;bzJIZc170pE;True;0.0
@HeriantoNuh;2025-04-01T06:28:01Z;0;TEMPAT BASA APA LAGI JOKOWI DI DALAMNYA APA KALIAN PERCAYA   ????? IJAZAHNYA SAJA GAK JELAS MASIH MAU PERCAYA   ??? CUMA ORANG GAK WARAS YG PERCAYA JOKOWI.;bzJIZc170pE;True;0.0
@FifitHeriyanto;2025-03-26T21:32:47Z;0;Halo freeport apa kabar?;bzJIZc170pE;True;2.0
@candrasari4454;2025-03-26T14:10:32Z;0;Ini sih hanya masukan buat pemangku negri agar masyarakat bisa tertolong dari jeratan hutang;bzJIZc170pE;True;1.0
@candrasari4454;2025-03-26T14:06:13Z;0;Danatara bisa ngk untuk yg terjebak hutang biar ada keringanan supaya masyarakat tenang tidak dikejar2 leasing tapi tetap kewajiban buat bayar ke Danatara agar bisa berkesinambungan mejalankan roda perekonomian 👃;bzJIZc170pE;True;1.0
@yantogondrong2572;2025-03-26T08:43:10Z;0;Sisihkan untuk rakyat indonesia 100 T , di bagi 1 tahun sekali, 100 tahun sudah itu dapet jatah 1 T untuk rak yat indonesia;bzJIZc170pE;True;1.0
@HesamaRendy;2025-03-21T08:47:38Z;0;Tempat penyimpanan uang yang kapan aj bisa di comot wkwkkw;bzJIZc170pE;True;0.0
@fikryvbn6321;2025-03-20T03:53:05Z;0;beli bitcoin;bzJIZc170pE;True;2.0
@andikasetyawan-t5r;2025-03-14T01:29:13Z;0;kpk harus periksa danantara;bzJIZc170pE;True;0.0
@yis2724;2025-03-10T03:56:16Z;0;Ladang korupsi baru;bzJIZc170pE;True;0.0
@loyalty910;2025-03-08T04:19:23Z;0;Selamat BERFOTA-FOYA diatas PENDERITAAN RAKYAT!!!;bzJIZc170pE;True;0.0
@TheEndog;2025-03-06T22:07:32Z;0;Korupsi,Kolusi,Nepotisme ngumpul.... Proyek nich... Mana pengusaha dan pejabat komlotan maling dan rampok ngumpul  ???;bzJIZc170pE;True;0.0
@wiwitdian-h3f;2025-03-06T11:54:15Z;0;Yakin sekali ada peluang korupsi  besar disini,,,, jiwa maling ga bisa hilang;bzJIZc170pE;True;0.0
@GalaxyPlay-game;2025-03-01T06:11:17Z;2;Hukum mati 7 orang korupsi;bzJIZc170pE;True;0.0
@RayIshigaki;2025-02-27T19:48:18Z;0;Bank Sat;bzJIZc170pE;True;0.0
@ademaskur3054;2025-02-27T11:43:18Z;0;"Danantara bukan hal baru, 
Singapura sudah dari dulu punya Temasek.
 banyak negara didunia yang danantaranya sudah global investasinya";bzJIZc170pE;True;2.0
@SifaHamzah-s8h;2025-02-27T09:59:41Z;1;Setelah jokowi melemahkan kpk kini melalui prabowo sbg pion melemahkan BUMN dg danantara? Waspada negara gagal ? Pengelolaan juga genk solo? Oh ya lagi lagi ada juga saham privilage opung luhut ? Ngeri!;bzJIZc170pE;True;0.0
@krisnede6307;2025-02-27T05:24:31Z;0;Program pemerintah salah satunya danantara ini klo mau sukses maka sahkan dlu uu perampasan aset koruptor;bzJIZc170pE;True;2.0
@MazralAbdmanaf;2025-02-27T02:42:42Z;0;Dalam tempoh setahun mesti dikorupsi oleh pengelola nye bro.semua pejabat di indonesia itu kaki korupsi be bro...itu pasti bro tiada orang jujur diindonesia bro.itu sebab negara anda banyak bencana yg dituru kan oleh allah....itu fakta nye bro...;bzJIZc170pE;True;0.0
@cornelliusdimasberlin3985;2025-02-27T01:23:01Z;0;Danantara = ladang 'basah' korupsi baru para pejabat 😂😂😂;bzJIZc170pE;True;0.0
@Monitsu;2025-02-26T23:30:32Z;1;Ketika ada proyek pemerintah, maka disitulah media mengalihkan isu dengan menumbalkan kasus korupsi PERTAMINA, sulap pertalite jadi pertamax;bzJIZc170pE;True;0.0
@KhaiRuddin-hq9he;2025-02-26T22:48:41Z;0;Nanti seperti malaysia uang nya di korupsi orang di percaya;bzJIZc170pE;True;0.0
